id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-semantic-0-combined,semantic,combined,3,19385,0,196,8,19581
gpt-6-astra-semantic-0-combined,semantic,combined,4,28160,19200,212,18,28372
gpt-6-astra-semantic-0-combined,semantic,combined,5,29732,28032,721,22,30453
gpt-6-astra-semantic-0-combined,semantic,combined,6,30528,29568,40,0,30568
gpt-6-astra-cross_file-1-combined,cross_file,combined,1,16076,0,183,0,16259
gpt-6-astra-cross_file-1-combined,cross_file,combined,2,17820,15872,63,0,17883
gpt-6-astra-cross_file-1-combined,cross_file,combined,3,18270,17664,845,172,19115
gpt-6-astra-cross_file-1-combined,cross_file,combined,4,19139,18176,1696,0,20835
gpt-6-astra-cross_file-1-combined,cross_file,combined,5,21123,18944,726,18,21849
gpt-6-astra-cross_file-1-combined,cross_file,combined,6,21992,20992,81,0,22073
gpt-6-astra-cross_file-1-bare,cross_file,bare,1,15141,8832,130,0,15271
gpt-6-astra-cross_file-1-bare,cross_file,bare,2,15496,14976,118,0,15614
gpt-6-astra-cross_file-1-bare,cross_file,bare,3,16055,15360,271,232,16326
gpt-6-astra-cross_file-1-bare,cross_file,bare,4,16579,15872,2106,23,18685
gpt-6-astra-cross_file-1-bare,cross_file,bare,5,20228,16384,567,27,20795
gpt-6-astra-cross_file-1-bare,cross_file,bare,6,21105,20096,1044,45,22149
gpt-6-astra-cross_file-1-bare,cross_file,bare,7,22886,20864,78,0,22964
gpt-6-astra-incident-1-bare,incident,bare,1,15254,0,85,0,15339
gpt-6-astra-incident-1-bare,incident,bare,2,15435,15104,29,0,15464
gpt-6-astra-incident-1-bare,incident,bare,3,25867,15232,89,0,25956
gpt-6-astra-incident-1-bare,incident,bare,4,26280,25728,1090,0,27370
gpt-6-astra-incident-1-bare,incident,bare,5,27410,26112,1028,12,28438
gpt-6-astra-incident-1-bare,incident,bare,6,28517,27264,67,0,28584
gpt-6-astra-incident-1-combined,incident,combined,1,16179,0,181,0,16360
gpt-6-astra-incident-1-combined,incident,combined,2,17898,16000,65,0,17963
gpt-6-astra-incident-1-combined,incident,combined,3,18443,17792,197,18,18640
gpt-6-astra-incident-1-combined,incident,combined,4,26912,18304,89,0,27001
gpt-6-astra-incident-1-combined,incident,combined,5,27323,26752,1062,0,28385
gpt-6-astra-incident-1-combined,incident,combined,6,28465,27136,84,0,28549
gpt-6-astra-semantic-1-combined,semantic,combined,1,16082,0,195,0,16277
gpt-6-astra-semantic-1-combined,semantic,combined,2,17818,15872,70,0,17888
gpt-6-astra-semantic-1-combined,semantic,combined,3,19927,17664,246,9,20173
gpt-6-astra-semantic-1-combined,semantic,combined,4,28801,0,193,17,28994
gpt-6-astra-semantic-1-combined,semantic,combined,5,30299,28672,854,18,31153
gpt-6-astra-semantic-1-combined,semantic,combined,6,31820,30208,50,0,31870
gpt-6-astra-semantic-1-bare,semantic,bare,1,15164,8832,115,0,15279
gpt-6-astra-semantic-1-bare,semantic,bare,2,15380,14976,35,0,15415
gpt-6-astra-semantic-1-bare,semantic,bare,3,23416,15232,224,17,23640
gpt-6-astra-semantic-1-bare,semantic,bare,4,25005,23296,297,27,25302
gpt-6-astra-semantic-1-bare,semantic,bare,5,25926,24832,690,14,26616
gpt-6-astra-semantic-1-bare,semantic,bare,6,26707,25728,50,0,26757
