id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-semantic-1-bare,semantic,bare,7,29937,24960,690,384,30627
gpt-6-sol-semantic-1-bare,semantic,bare,8,30651,29696,311,18,30962
gpt-6-sol-semantic-1-bare,semantic,bare,9,31333,30464,107,25,31440
gpt-6-sol-semantic-1-combined,semantic,combined,1,15737,9088,78,13,15815
gpt-6-sol-semantic-1-combined,semantic,combined,2,16421,15616,156,13,16577
gpt-6-sol-semantic-1-combined,semantic,combined,3,20583,16256,136,11,20719
gpt-6-sol-semantic-1-combined,semantic,combined,4,20766,20480,281,41,21047
gpt-6-sol-semantic-1-combined,semantic,combined,5,22039,20608,165,75,22204
gpt-6-sol-semantic-1-combined,semantic,combined,6,23566,21888,411,136,23977
gpt-6-sol-semantic-1-combined,semantic,combined,7,24001,23424,247,17,24248
gpt-6-sol-semantic-1-combined,semantic,combined,8,24618,23808,79,0,24697
